Unit Serial No : 240-LV0P465-EU
Integration Time : 240 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:13:18

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
668.5000      	14958.8631    	2324.54541    
669.0000      	14947.6831    	2403.81812    
669.5000      	14936.5198    	2332.36353    
670.0000      	14925.3731    	2386.09082    
670.5000      	14914.2431    	2617.90918    
671.0000      	14903.1297    	2693.63647    
671.5000      	14892.0328    	2434.18188    
672.0000      	14880.9524    	2411.72729    
672.5000      	14869.8885    	2382.90918    
673.0000      	14858.8410    	2484.63647    
673.5000      	14847.8099    	2442.18188    
674.0000      	14836.7953    	2559.54541    
674.5000      	14825.7969    	3034.63647    
675.0000      	14814.8148    	2813.27271    
675.5000      	14803.8490    	2547.45459    
676.0000      	14792.8994    	2595.27271    
676.5000      	14781.9660    	2750.81812    
677.0000      	14771.0487    	2992.72729    
