Unit Serial No : 240-LV0P465-EU
Integration Time : 113 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:23:29

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
566.0000      	17667.8445    	1999.72729    
566.5000      	17652.2507    	1843.54541    
567.0000      	17636.6843    	1845.63635    
567.5000      	17621.1454    	1875.90906    
568.0000      	17605.6338    	1911.81824    
568.5000      	17590.1495    	1867.27271    
569.0000      	17574.6924    	1921.09094    
569.5000      	17559.2625    	1905.54541    
570.0000      	17543.8596    	1871.27271    
570.5000      	17528.4838    	1820.45459    
571.0000      	17513.1349    	1873.00000    
571.5000      	17497.8128    	1956.63635    
572.0000      	17482.5175    	1851.27271    
572.5000      	17467.2489    	2038.36365    
573.0000      	17452.0070    	1808.45459    
573.5000      	17436.7916    	1929.18176    
574.0000      	17421.6028    	1848.36365    
574.5000      	17406.4404    	1860.09094    
575.0000      	17391.3043    	1887.18176    
575.5000      	17376.1946    	1867.54541    
576.0000      	17361.1111    	1942.45459    
576.5000      	17346.0538    	1857.81824    
577.0000      	17331.0225    	1832.18176    
577.5000      	17316.0173    	1790.00000    
578.0000      	17301.0381    	1926.27271    
578.5000      	17286.0847    	1886.00000    
579.0000      	17271.1572    	1966.81824    
579.5000      	17256.2554    	1867.81824    
580.0000      	17241.3793    	2224.45459    
580.5000      	17226.5289    	1992.90906    
581.0000      	17211.7040    	1933.63635    
581.5000      	17196.9046    	1796.27271    
582.0000      	17182.1306    	1917.63635    
582.5000      	17167.3820    	1922.27271    
583.0000      	17152.6587    	1864.45459    
583.5000      	17137.9606    	2009.18176    
584.0000      	17123.2877    	1843.09094    
584.5000      	17108.6399    	1801.36365    
585.0000      	17094.0171    	1836.90906    
585.5000      	17079.4193    	1793.54541    
586.0000      	17064.8464    	1892.00000    
586.5000      	17050.2984    	1836.36365    
587.0000      	17035.7751    	1861.27271    
587.5000      	17021.2766    	1865.81824    
588.0000      	17006.8027    	1966.45459    
588.5000      	16992.3534    	1934.81824    
589.0000      	16977.9287    	1944.00000    
589.5000      	16963.5284    	1933.63635    
590.0000      	16949.1525    	2073.09082    
590.5000      	16934.8010    	1964.54541    
591.0000      	16920.4738    	1901.36365    
591.5000      	16906.1708    	2000.90906    
592.0000      	16891.8919    	1878.09094    
592.5000      	16877.6371    	1963.54541    
593.0000      	16863.4064    	1869.72729    
593.5000      	16849.1997    	1923.09094    
594.0000      	16835.0168    	1830.36365    
594.5000      	16820.8579    	2116.63647    
595.0000      	16806.7227    	1900.81824    
595.5000      	16792.6113    	1821.81824    
596.0000      	16778.5235    	2033.54541    
596.5000      	16764.4593    	1958.54541    
597.0000      	16750.4188    	1881.27271    
597.5000      	16736.4017    	1868.45459    
598.0000      	16722.4080    	1987.81824    
598.5000      	16708.4378    	1997.27271    
599.0000      	16694.4908    	2021.90906    
599.5000      	16680.5671    	1894.00000    
600.0000      	16666.6667    	1942.54541    
600.5000      	16652.7893    	1947.54541    
601.0000      	16638.9351    	2009.63635    
601.5000      	16625.1039    	1884.72729    
602.0000      	16611.2957    	1855.63635    
602.5000      	16597.5104    	1867.18176    
603.0000      	16583.7479    	1882.45459    
603.5000      	16570.0083    	1849.45459    
604.0000      	16556.2914    	1847.63635    
604.5000      	16542.5972    	2000.00000    
605.0000      	16528.9256    	2016.45459    
605.5000      	16515.2766    	1906.81824    
606.0000      	16501.6502    	1865.81824    
606.5000      	16488.0462    	1884.54541    
607.0000      	16474.4646    	1882.27271    
607.5000      	16460.9053    	1959.45459    
608.0000      	16447.3684    	2065.45459    
608.5000      	16433.8537    	1923.09094    
609.0000      	16420.3612    	2032.00000    
609.5000      	16406.8909    	1861.00000    
610.0000      	16393.4426    	1969.72729    
610.5000      	16380.0164    	2099.36353    
611.0000      	16366.6121    	1822.09094    
611.5000      	16353.2298    	1904.54541    
612.0000      	16339.8693    	1891.54541    
612.5000      	16326.5306    	2000.09094    
613.0000      	16313.2137    	1847.00000    
613.5000      	16299.9185    	2020.63635    
614.0000      	16286.6450    	1889.00000    
614.5000      	16273.3930    	1943.81824    
615.0000      	16260.1626    	1894.09094    
615.5000      	16246.9537    	1842.63635    
616.0000      	16233.7662    	1886.09094    
616.5000      	16220.6002    	1826.72729    
617.0000      	16207.4554    	1913.81824    
617.5000      	16194.3320    	1865.63635    
618.0000      	16181.2298    	1791.18176    
618.5000      	16168.1487    	1960.54541    
619.0000      	16155.0889    	1926.27271    
619.5000      	16142.0500    	1851.72729    
620.0000      	16129.0323    	1899.72729    
620.5000      	16116.0355    	2007.54541    
621.0000      	16103.0596    	1880.81824    
621.5000      	16090.1046    	1791.36365    
622.0000      	16077.1704    	1845.90906    
622.5000      	16064.2570    	1984.18176    
623.0000      	16051.3644    	1886.18176    
623.5000      	16038.4924    	1865.54541    
624.0000      	16025.6410    	1933.09094    
624.5000      	16012.8102    	2097.09082    
625.0000      	16000.0000    	1940.27271    
625.5000      	15987.2102    	1866.90906    
626.0000      	15974.4409    	1937.18176    
626.5000      	15961.6919    	1854.18176    
627.0000      	15948.9633    	1939.27271    
627.5000      	15936.2550    	1960.09094    
628.0000      	15923.5669    	1990.63635    
628.5000      	15910.8990    	1810.09094    
629.0000      	15898.2512    	1916.81824    
629.5000      	15885.6235    	1804.27271    
630.0000      	15873.0159    	1801.54541    
630.5000      	15860.4282    	1903.63635    
631.0000      	15847.8605    	1898.27271    
631.5000      	15835.3127    	1866.72729    
632.0000      	15822.7848    	1906.72729    
632.5000      	15810.2767    	1909.81824    
633.0000      	15797.7883    	1869.54541    
633.5000      	15785.3197    	1767.54541    
634.0000      	15772.8707    	1978.81824    
634.5000      	15760.4413    	1964.18176    
635.0000      	15748.0315    	1879.72729    
635.5000      	15735.6412    	2002.18176    
636.0000      	15723.2704    	1951.27271    
636.5000      	15710.9191    	1889.00000    
637.0000      	15698.5871    	2024.63635    
637.5000      	15686.2745    	1978.09094    
638.0000      	15673.9812    	1918.72729    
638.5000      	15661.7071    	1853.72729    
639.0000      	15649.4523    	1985.18176    
639.5000      	15637.2166    	1949.36365    
640.0000      	15625.0000    	2033.27271    
