Unit Serial No : 240-LV0P465-EU
Integration Time : 249 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:28:53

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
646.5000      	15467.9041    	2513.27271    
647.0000      	15455.9505    	2348.27271    
647.5000      	15444.0154    	2601.09082    
648.0000      	15432.0988    	2611.18188    
648.5000      	15420.2005    	2804.54541    
649.0000      	15408.3205    	2558.27271    
649.5000      	15396.4588    	2655.00000    
650.0000      	15384.6154    	2497.45459    
650.5000      	15372.7902    	2440.45459    
651.0000      	15360.9831    	2435.63647    
651.5000      	15349.1942    	2316.45459    
652.0000      	15337.4233    	2771.63647    
652.5000      	15325.6705    	2442.81812    
653.0000      	15313.9357    	2346.72729    
653.5000      	15302.2188    	2483.09082    
654.0000      	15290.5199    	2433.18188    
654.5000      	15278.8388    	2303.09082    
655.0000      	15267.1756    	2265.81812    
655.5000      	15255.5301    	2489.63647    
656.0000      	15243.9024    	2500.00000    
656.5000      	15232.2925    	2424.09082    
657.0000      	15220.7002    	2309.54541    
657.5000      	15209.1255    	2904.54541    
658.0000      	15197.5684    	2566.72729    
658.5000      	15186.0289    	2417.81812    
659.0000      	15174.5068    	2282.54541    
659.5000      	15163.0023    	2658.81812    
660.0000      	15151.5152    	2350.63647    
660.5000      	15140.0454    	2453.63647    
661.0000      	15128.5930    	2721.09082    
661.5000      	15117.1580    	2812.63647    
662.0000      	15105.7402    	2624.00000    
662.5000      	15094.3396    	2762.00000    
663.0000      	15082.9563    	2551.09082    
663.5000      	15071.5901    	2537.63647    
664.0000      	15060.2410    	2527.54541    
664.5000      	15048.9090    	2359.72729    
665.0000      	15037.5940    	2582.00000    
665.5000      	15026.2960    	2582.72729    
666.0000      	15015.0150    	2523.90918    
666.5000      	15003.7509    	2500.36353    
667.0000      	14992.5037    	2559.72729    
667.5000      	14981.2734    	2731.81812    
668.0000      	14970.0599    	2639.63647    
668.5000      	14958.8631    	2359.27271    
669.0000      	14947.6831    	2455.45459    
669.5000      	14936.5198    	2353.00000    
670.0000      	14925.3731    	2410.09082    
670.5000      	14914.2431    	2606.63647    
671.0000      	14903.1297    	2708.90918    
671.5000      	14892.0328    	2451.00000    
672.0000      	14880.9524    	2402.72729    
672.5000      	14869.8885    	2378.00000    
673.0000      	14858.8410    	2497.54541    
673.5000      	14847.8099    	2475.18188    
674.0000      	14836.7953    	2581.81812    
674.5000      	14825.7969    	2955.27271    
675.0000      	14814.8148    	2791.81812    
675.5000      	14803.8490    	2522.45459    
676.0000      	14792.8994    	2549.36353    
676.5000      	14781.9660    	2723.45459    
677.0000      	14771.0487    	2931.09082    
